human_gene_symbol	human_chromosome	entity_type	category	parent	consensus_score	is_cs	database_cs	is_tf	database_tf
CRYAA	21	protein	intracellular	intracellular	3	FALSE	GO_Intercell, LOCATE, UniProt, OmniPath, ComPPI	FALSE	NA
CRYAB	11	protein	intracellular, secreted, ecm, extracellular	intracellular, secreted, ecm, extracellular	3	FALSE	LOCATE, OmniPath, ComPPI, UniProt, GO_Intercell	FALSE	NA
CRYBA1	17	protein	intracellular	intracellular	2	FALSE	ComPPI, OmniPath, GO_Intercell	FALSE	NA
CRYBA2	2	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	FALSE	NA
CRYBA4	22	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	FALSE	NA
CRYBB1	22	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath, LOCATE	FALSE	NA
CRYBB2	22	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	FALSE	NA
CRYBB3	22	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	FALSE	NA
CRYBG1	6	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	FALSE	NA
CRYBG3	3	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	FALSE	NA
CRYGA	2	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	FALSE	NA
CRYGB	2	protein	intracellular	intracellular	2	FALSE	GO_Intercell, ComPPI, OmniPath	FALSE	NA
CRYGC	2	protein	intracellular	intracellular	2	FALSE	GO_Intercell, ComPPI, OmniPath	FALSE	NA
CRYGS	3	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	FALSE	NA
CRYL1	13	protein	intracellular	intracellular	3	FALSE	ComPPI, OmniPath, GO_Intercell, UniProt	FALSE	NA
CRYM	16	protein	intracellular, extracellular	intracellular, extracellular	3	FALSE	UniProt, OmniPath, GO_Intercell, LOCATE, ComPPI	FALSE	NA
CRYZ	1	protein	intracellular	intracellular	3	FALSE	GO_Intercell, ComPPI, OmniPath, UniProt	FALSE	NA
CRYZL1	21	protein	intracellular	intracellular	2	FALSE	ComPPI, GO_Intercell, OmniPath	FALSE	NA
CS	12	protein	intracellular, transmembrane	intracellular, transmembrane_predicted	3	TRUE	UniProt, ComPPI, Phobius, OmniPath, LOCATE, GO_Intercell	FALSE	NA
CSAD	12	protein	intracellular	intracellular	2	FALSE	OmniPath, GO_Intercell, ComPPI	FALSE	NA
CSDC2	22	protein	intracellular	intracellular	3	FALSE	GO_Intercell, UniProt, OmniPath, ComPPI	FALSE	NA
CSDE1	1	protein	intracellular	intracellular	3	FALSE	ComPPI, UniProt, OmniPath, GO_Intercell, LOCATE	FALSE	NA
CSE1L	20	protein	extracellular, intracellular	extracellular, intracellular	3	FALSE	OmniPath, GO_Intercell, LOCATE, UniProt, ComPPI	FALSE	NA
CSF1	1	protein	ligand, growth_factor, transmembrane_tmhmm, secreted, extracellular, cell_surface, transmembrane, plasma_membrane_transmembrane, cell_surface_ligand, transmembrane_sosui, transmembrane_phobius, transmembrane_predicted, plasma_membrane, cytokine, intracellular, growthfactor, receptor	ligand, transmembrane_predicted, secreted, extracellular, cell_surface, transmembrane, plasma_membrane_transmembrane, cell_surface_ligand, plasma_membrane, intracellular, receptor	20	TRUE	connectomeDB2020, UniProt, Almen2009, Cellinker, CellTalkDB, OmniPath, LOCATE, iTALK, Surfaceome, LRdb, DGIdb, scConnect, HPMR, CellChatDB, Membranome, Matrisome, CellPhoneDB, Ramilowski_location, HPA_secretome, ICELLNET, Baccin2019, Guide2Pharma, Ramilowski2015, CSPA, EMBRACE, GO_Intercell, talklr, TopDB, Phobius, CellCall, SignaLink_function, ComPPI, CellCellInteractions	FALSE	NA
CSF1R	5	protein	receptor, cell_adhesion, cytokine, transmembrane, cytokine_type_1, kinase, cell_surface, intracellular, plasma_membrane, extracellular, adhesion, pdgfr, plasma_membrane_transmembrane, transmembrane_predicted, interleukin, prolactin, transmembrane_phobius, transmembrane_tmhmm, tyrosine_kinase, pdgf, transmembrane_sosui	receptor, cell_adhesion, transmembrane, transmembrane_predicted, cell_surface, intracellular, plasma_membrane, extracellular, adhesion, plasma_membrane_transmembrane	22	TRUE	EMBRACE, Cellinker, iTALK, Ramilowski_location, UniProt, Phobius, ICELLNET, Ramilowski2015, HPMR, Surfaceome, OmniPath, Almen2009, Guide2Pharma, CellCellInteractions, CellCall, GO_Intercell, Baccin2019, Membranome, connectomeDB2020, LOCATE, Kirouac2010, LRdb, TopDB, scConnect, HGNC, ComPPI, talklr, CellTalkDB, CellPhoneDB, CellChatDB	FALSE	NA
CSF2	5	protein	intracellular, secreted, ligand, extracellular, growth_factor, growthfactor, cytokine	intracellular, secreted, ligand, extracellular	20	FALSE	ComPPI, UniProt, Cellinker, Matrisome, GO_Intercell, OmniPath, CellCall, CellPhoneDB, CellTalkDB, DGIdb, Kirouac2010, SignaLink_function, HPMR, ICELLNET, connectomeDB2020, iTALK, Guide2Pharma, LRdb, Baccin2019, CellChatDB, scConnect, Ramilowski2015, HPA_secretome, talklr	FALSE	NA
CSF2RA	X	protein	type1, secreted, receptor, transmembrane, il2rg_cytokine_type_1, plasma_membrane_transmembrane, extracellular, cytokiner, cytokine_receptor, cytokine, cell_surface, cytokine_type_1, ligand, plasma_membrane, pseudoautosomal_region, ig	receptor, secreted, transmembrane, plasma_membrane_transmembrane, transmembrane_predicted, extracellular, cell_surface, ligand, plasma_membrane	19	TRUE	Surfaceome, UniProt, CellCellInteractions, Kirouac2010, HPMR, HPA_secretome, Membranome, Phobius, LOCATE, GO_Intercell, Ramilowski_location, iTALK, LRdb, DGIdb, OmniPath, Baccin2019, CellCall, ICELLNET, CellPhoneDB, TopDB, CSPA, Cellinker, connectomeDB2020, Ramilowski2015, SignaLink_function, scConnect, CellTalkDB, talklr, Guide2Pharma	FALSE	NA
CSF2RB	22	protein	receptor, plasma_membrane_transmembrane, cytokine_receptor, transmembrane_sosui, intracellular, plasma_membrane, transmembrane, cell_surface, extracellular, cell_adhesion, cytokine, cytokiner, ig, type1_ig_like_cytokine, interleukin, type1, adhesion, transmembrane_predicted, ig_like, transmembrane_tmhmm, transmembrane_phobius	receptor, plasma_membrane_transmembrane, transmembrane_predicted, intracellular, plasma_membrane, cell_surface, transmembrane, extracellular, cell_adhesion, adhesion	17	TRUE	GO_Intercell, Membranome, CellPhoneDB, Almen2009, LOCATE, Cellinker, Phobius, OmniPath, Surfaceome, UniProt, Guide2Pharma, CellCall, CellTalkDB, Baccin2019, iTALK, LRdb, talklr, connectomeDB2020, scConnect, HPMR, CellCellInteractions, ICELLNET, ComPPI, CSPA, TopDB, Ramilowski2015, Ramilowski_location	FALSE	NA
CSF3	17	protein	secreted, cytokine, ligand, growth_factor, extracellular, growthfactor, intracellular	secreted, ligand, extracellular, intracellular	20	FALSE	Cellinker, CellPhoneDB, Kirouac2010, Baccin2019, DGIdb, OmniPath, LOCATE, connectomeDB2020, Matrisome, UniProt, CellChatDB, LRdb, iTALK, scConnect, Ramilowski2015, HPA_secretome, EMBRACE, talklr, Guide2Pharma, ICELLNET, CellTalkDB, GO_Intercell, SignaLink_function, CellCall	FALSE	NA
CSF3R	1	protein	receptor, transmembrane_tmhmm, type1, adhesion, secreted, cell_surface, plasma_membrane_transmembrane, transmembrane_predicted, osmr_cytokine_type_1, cytokine_receptor, ligand, cell_adhesion, transmembrane, extracellular, cytokine_type_1, plasma_membrane, intracellular, cytokine, transmembrane_phobius, ig, type1_ig_like_cytokine, cytokiner, ig_like	receptor, transmembrane_predicted, adhesion, secreted, cell_surface, plasma_membrane_transmembrane, transmembrane, ligand, cell_adhesion, extracellular, plasma_membrane, intracellular	22	TRUE	Ramilowski2015, GO_Intercell, Almen2009, Surfaceome, OmniPath, connectomeDB2020, ICELLNET, SignaLink_function, Kirouac2010, Baccin2019, HPMR, CellCall, CellPhoneDB, UniProt, Ramilowski_location, talklr, DGIdb, LOCATE, scConnect, iTALK, CellTalkDB, Cellinker, CellChatDB, Membranome, TopDB, LRdb, EMBRACE, Guide2Pharma, CellCellInteractions, Phobius	FALSE	NA
CSGALNACT1	8	protein	intracellular, transmembrane	intracellular, transmembrane	3	TRUE	UniProt, ComPPI, OmniPath, GO_Intercell	FALSE	NA
CSGALNACT2	10	protein	transmembrane_tmhmm, intracellular, transmembrane, transmembrane_predicted, transmembrane_sosui, transmembrane_phobius	transmembrane_predicted, intracellular, transmembrane	4	TRUE	Almen2009, ComPPI, UniProt, OmniPath, GO_Intercell, Phobius	FALSE	NA
CSH1	17	protein	ligand, secreted, intracellular, growth_factor, extracellular, growth_hormone, hormone	ligand, secreted, intracellular, extracellular	13	FALSE	Matrisome, UniProt, CellCall, Guide2Pharma, LRdb, GO_Intercell, connectomeDB2020, DGIdb, OmniPath, HGNC, talklr, Ramilowski2015, LOCATE, CellTalkDB, ComPPI, HPA_secretome, Cellinker, iTALK	FALSE	NA
CSH2	17	protein	ligand, secreted, growth_factor, intracellular, extracellular, growth_hormone, hormone	ligand, secreted, intracellular, extracellular	11	FALSE	DGIdb, Ramilowski2015, UniProt, HPA_secretome, HGNC, OmniPath, GO_Intercell, iTALK, Cellinker, Matrisome, CellTalkDB, talklr, ComPPI, CellCall, LOCATE, Guide2Pharma	FALSE	NA
CSHL1	17	protein	secreted, ligand, extracellular, hormone, growth_hormone, growth_factor	secreted, ligand, extracellular	10	FALSE	Matrisome, DGIdb, LOCATE, UniProt, OmniPath, HGNC, Ramilowski2015, scConnect, iTALK, Guide2Pharma, CellTalkDB, GO_Intercell, talklr, HPA_secretome	FALSE	NA
CSK	15	protein	intracellular, plasma_membrane, receptor	intracellular, plasma_membrane, receptor	3	FALSE	ComPPI, UniProt, OmniPath, LOCATE, scConnect, GO_Intercell	FALSE	NA
CSMD1	8	protein	cell_surface, transmembrane, intracellular, transmembrane_tmhmm, plasma_membrane_transmembrane, transmembrane_predicted, transmembrane_sosui, transmembrane_phobius	cell_surface, transmembrane_predicted, transmembrane, intracellular, plasma_membrane_transmembrane	5	TRUE	OmniPath, Phobius, Ramilowski_location, Almen2009, Membranome, ComPPI, Surfaceome, UniProt	FALSE	NA
CSMD2	1	protein	transmembrane, cell_surface, transmembrane_predicted, plasma_membrane, plasma_membrane_transmembrane, transmembrane_phobius, transmembrane_tmhmm, transmembrane_sosui	transmembrane, cell_surface, plasma_membrane, plasma_membrane_transmembrane, transmembrane_predicted	5	TRUE	Ramilowski_location, OmniPath, UniProt, Phobius, Almen2009, Membranome, Surfaceome	FALSE	NA
CSMD3	8	protein	transmembrane, transmembrane_sosui, plasma_membrane, transmembrane_predicted	transmembrane, transmembrane_predicted, plasma_membrane	5	TRUE	UniProt, Almen2009, Phobius, OmniPath, Ramilowski_location	FALSE	NA
CSN1S1	4	protein	secreted, extracellular	secreted, extracellular	3	FALSE	HPA_secretome, UniProt, OmniPath, LOCATE	FALSE	NA
CSN2	4	protein	secreted, extracellular	secreted, extracellular	3	FALSE	HPA_secretome, UniProt, LOCATE, OmniPath	FALSE	NA
CSN3	4	protein	secreted, extracellular, intracellular	secreted, extracellular, intracellular	3	FALSE	HPA_secretome, LOCATE, ComPPI, OmniPath, UniProt	FALSE	NA
CSNK1A1	5	protein	receptor, intracellular	receptor, intracellular	3	FALSE	OmniPath, scConnect, GO_Intercell, UniProt, ComPPI, LOCATE	FALSE	NA
CSNK1D	17	protein	receptor, intracellular, plasma_membrane	receptor, intracellular, plasma_membrane	3	FALSE	OmniPath, GO_Intercell, UniProt, LOCATE, scConnect, ComPPI	FALSE	NA
CSNK1E	22	protein	receptor, intracellular	receptor, intracellular	3	FALSE	scConnect, OmniPath, UniProt, LOCATE, GO_Intercell, ComPPI	FALSE	NA
CSNK1G1	15	protein	receptor, intracellular	receptor, intracellular	3	FALSE	scConnect, GO_Intercell, OmniPath, ComPPI, UniProt	FALSE	NA
CSNK1G2	19	protein	intracellular, receptor	intracellular, receptor	3	FALSE	ComPPI, OmniPath, GO_Intercell, LOCATE, UniProt, scConnect	FALSE	NA
CSNK1G3	5	protein	intracellular, receptor	intracellular, receptor	3	FALSE	GO_Intercell, OmniPath, scConnect, UniProt, ComPPI	FALSE	NA
CSNK2A1	20	protein	intracellular, receptor	intracellular, receptor	3	FALSE	GO_Intercell, scConnect, UniProt, LOCATE, ComPPI, OmniPath	FALSE	NA
CSNK2A2	16	protein	intracellular, receptor	intracellular, receptor	3	FALSE	LOCATE, OmniPath, UniProt, ComPPI, GO_Intercell, scConnect	FALSE	NA
CSNK2A3	11	protein	intracellular	intracellular	2	FALSE	ComPPI, OmniPath, GO_Intercell	FALSE	NA
CSNKA2IP	3	protein	intracellular	intracellular	2	FALSE	OmniPath, GO_Intercell, UniProt	FALSE	NA
CSPG4	15	protein	plasma_membrane, matrix_adhesion, intracellular, mucin, adhesion, receptor, apical_cell_membrane, cell_adhesion, transmembrane, cell_surface_ligand, cell_surface, ecm, transmembrane_sosui, proteoglycan, plasma_membrane_transmembrane, transmembrane_predicted, transmembrane_phobius, transmembrane_tmhmm	plasma_membrane, matrix_adhesion, intracellular, ecm, adhesion, receptor, cell_adhesion, transmembrane, cell_surface_ligand, cell_surface, transmembrane_predicted, plasma_membrane_transmembrane	10	TRUE	UniProt, OmniPath, Ramilowski_location, talklr, ComPPI, Cellinker, LOCATE, CellChatDB, CellTalkDB, iTALK, Ramilowski2015, connectomeDB2020, TopDB, CellPhoneDB, Almen2009, CSPA, LRdb, GO_Intercell, Baccin2019, Phobius, Surfaceome, Membranome, EMBRACE	FALSE	NA
CSPG5	3	protein	intracellular, transmembrane, transmembrane_predicted, transmembrane_tmhmm, growth_factor, plasma_membrane_transmembrane, ligand, cell_surface, transmembrane_sosui, plasma_membrane, transmembrane_phobius	intracellular, transmembrane, transmembrane_predicted, ligand, plasma_membrane_transmembrane, cell_surface, plasma_membrane	6	TRUE	OmniPath, UniProt, Phobius, Ramilowski_location, ComPPI, Almen2009, DGIdb, CSPA, GO_Intercell, Surfaceome, TopDB	FALSE	NA
CSPP1	8	protein	intracellular	intracellular	3	FALSE	OmniPath, UniProt, ComPPI, GO_Intercell	FALSE	NA
CSRNP1	3	protein	intracellular	intracellular	3	FALSE	OmniPath, ComPPI, GO_Intercell, UniProt	FALSE	NA
CSRNP2	12	protein	intracellular	intracellular	3	FALSE	UniProt, OmniPath, ComPPI, GO_Intercell	FALSE	NA
CSRNP3	2	protein	intracellular	intracellular	3	FALSE	UniProt, GO_Intercell, ComPPI, OmniPath	FALSE	NA
CSRP1	1	protein	adhesion_cytoskeleton_adaptor, intracellular, ecm, intracellular_intercellular_related	intracellular_intercellular_related, intracellular, ecm	3	FALSE	Adhesome, OmniPath, UniProt, GO_Intercell, LOCATE, ComPPI	FALSE	NA
CSRP2	12	protein	intracellular	intracellular	3	FALSE	ComPPI, OmniPath, UniProt, GO_Intercell	FALSE	NA
CSRP3	11	protein	intracellular	intracellular	3	FALSE	UniProt, GO_Intercell, LOCATE, OmniPath, ComPPI	FALSE	NA
CST11	20	protein	cystatin, ecm_regulator, secreted, extracellular, intracellular, secreted_peptidase_inhibitor	secreted_peptidase_inhibitor, ecm_regulator, secreted, extracellular, intracellular	3	FALSE	Matrisome, UniProt, OmniPath, HPA_secretome, LOCATE, GO_Intercell, ComPPI	FALSE	NA
CST3	20	protein	cystatin, extracellular, ecm_regulator, secreted_peptidase_inhibitor, ecm, intracellular, secreted	secreted_peptidase_inhibitor, extracellular, ecm_regulator, ecm, intracellular, secreted	3	FALSE	Matrisome, OmniPath, GO_Intercell, ComPPI, LOCATE, HPA_secretome, UniProt, CellCellInteractions	FALSE	NA
CST6	11	protein	extracellular, secreted, ecm_regulator, cystatin, intracellular, secreted_peptidase_inhibitor	extracellular, secreted, ecm_regulator, secreted_peptidase_inhibitor, intracellular	3	FALSE	LOCATE, UniProt, OmniPath, Matrisome, ComPPI, HPA_secretome	FALSE	NA
CST7	20	protein	intracellular, extracellular, ecm_regulator, secreted, secreted_peptidase_inhibitor, transmembrane, cystatin	intracellular, extracellular, ecm_regulator, secreted, secreted_peptidase_inhibitor, transmembrane	3	TRUE	ComPPI, LOCATE, OmniPath, HPA_secretome, UniProt, Matrisome, GO_Intercell	FALSE	NA
CST8	20	protein	secreted, extracellular, ecm_regulator, secreted_peptidase_inhibitor, intracellular, cystatin	secreted, extracellular, ecm_regulator, secreted_peptidase_inhibitor, intracellular	3	FALSE	UniProt, HPA_secretome, LOCATE, OmniPath, GO_Intercell, Matrisome	FALSE	NA
CST9L	20	protein	secreted_peptidase_inhibitor, cystatin, secreted, ecm_regulator	secreted_peptidase_inhibitor, secreted, ecm_regulator	3	FALSE	OmniPath, Matrisome, UniProt, HPA_secretome	FALSE	NA
CSTA	3	protein	extracellular, intracellular	extracellular, intracellular	3	FALSE	OmniPath, ComPPI, UniProt, LOCATE, GO_Intercell	FALSE	NA
CSTB	21	protein	intracellular	intracellular	3	FALSE	ComPPI, GO_Intercell, UniProt, LOCATE, OmniPath	FALSE	NA
CSTF1	20	protein	intracellular	intracellular	3	FALSE	OmniPath, GO_Intercell, ComPPI, UniProt, LOCATE	FALSE	NA
CSTF2	X	protein	intracellular	intracellular	3	FALSE	GO_Intercell, OmniPath, UniProt, ComPPI, LOCATE	FALSE	NA
CSTF2T	10	protein	intracellular	intracellular	3	FALSE	OmniPath, GO_Intercell, LOCATE, ComPPI, UniProt	FALSE	NA
CSTF3	11	protein	intracellular	intracellular	3	FALSE	GO_Intercell, UniProt, ComPPI, OmniPath, LOCATE	FALSE	NA
CSTL1	20	protein	secreted, cystatin, ecm_regulator, secreted_peptidase_inhibitor	secreted, secreted_peptidase_inhibitor, ecm_regulator	3	FALSE	UniProt, Matrisome, OmniPath, HPA_secretome	FALSE	NA
CT45A1	X	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	FALSE	NA
CT45A10	X	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	FALSE	NA
CT45A3	X	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	FALSE	NA
CT45A5	X	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	FALSE	NA
CT45A6	X	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	FALSE	NA
CT45A7	X	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	FALSE	NA
CTAG1B	X	protein	transmembrane, intracellular	transmembrane_predicted, intracellular, transmembrane	3	TRUE	Phobius, OmniPath, Ramilowski_location, ComPPI, UniProt, GO_Intercell	FALSE	NA
CTAG2	X	protein	intracellular	intracellular	2	FALSE	OmniPath, GO_Intercell, ComPPI	FALSE	NA
CTAGE1	18	protein	transmembrane, intracellular, transmembrane_predicted, transmembrane_phobius, transmembrane_tmhmm	transmembrane, intracellular, transmembrane_predicted	5	TRUE	OmniPath, UniProt, GO_Intercell, Phobius, Almen2009, Ramilowski_location	FALSE	NA
CTAGE15	7	protein	transmembrane, intracellular	transmembrane, intracellular, transmembrane_predicted	4	TRUE	UniProt, Ramilowski_location, OmniPath, Phobius, GO_Intercell	FALSE	NA
CTAGE4	7	protein	transmembrane, intracellular	transmembrane_predicted, transmembrane, intracellular	4	TRUE	Phobius, UniProt, OmniPath, GO_Intercell, Ramilowski_location	FALSE	NA
CTAGE6	7	protein	intracellular, transmembrane, transmembrane_phobius, transmembrane_predicted, transmembrane_sosui, transmembrane_tmhmm	intracellular, transmembrane, transmembrane_predicted	5	TRUE	OmniPath, Ramilowski_location, UniProt, Almen2009, Phobius, GO_Intercell	FALSE	NA
CTAGE8	7	protein	transmembrane, intracellular	transmembrane, transmembrane_predicted, intracellular	3	TRUE	UniProt, Phobius, OmniPath, GO_Intercell	FALSE	NA
CTAGE9	6	protein	transmembrane, intracellular	transmembrane, intracellular, transmembrane_predicted	4	TRUE	OmniPath, UniProt, GO_Intercell, Phobius, Ramilowski_location	FALSE	NA
CTBP1	4	protein	intracellular	intracellular	3	FALSE	LOCATE, OmniPath, UniProt, ComPPI, GO_Intercell	TRUE	CollecTRI;SIGNOR;SIGNOR_CollecTRI;TRRUST_CollecTRI;NTNU.Curated_CollecTRI
CTBP2	10	protein	intracellular	intracellular	3	FALSE	GO_Intercell, OmniPath, LOCATE, ComPPI, UniProt	TRUE	CollecTRI;ExTRI_CollecTRI;SIGNOR;SIGNOR_CollecTRI;NTNU.Curated_CollecTRI;ENCODE-proximal;ENCODE-distal
CTBS	1	protein	intracellular	intracellular	3	FALSE	GO_Intercell, OmniPath, UniProt, ComPPI	FALSE	NA
CTC1	17	protein	intracellular, transmembrane	intracellular, transmembrane_predicted, transmembrane	3	TRUE	GO_Intercell, ComPPI, OmniPath, Phobius, Ramilowski_location, UniProt	FALSE	NA
CTCF	16	protein	intracellular	intracellular	3	FALSE	UniProt, LOCATE, GO_Intercell, ComPPI, OmniPath	TRUE	CollecTRI;ENCODE-distal;ExTRI_CollecTRI;GEREDB_CollecTRI;DoRothEA;ENCODE-proximal;NTNU.Curated_CollecTRI;ORegAnno_DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA;SIGNOR_CollecTRI;TRRUST_CollecTRI;TRRUST_DoRothEA;FANTOM4_DoRothEA;HTRI_CollecTRI;HTRIdb;HTRIdb_DoRothEA;CytReg_CollecTRI;ARACNe-GTEx_DoRothEA;HOCOMOCO_DoRothEA;JASPAR_DoRothEA;ORegAnno
CTCFL	20	protein	intracellular, transmembrane_predicted, transmembrane, transmembrane_sosui, transmembrane_phobius	intracellular, transmembrane, transmembrane_predicted	3	TRUE	ComPPI, OmniPath, GO_Intercell, UniProt, Almen2009	TRUE	CollecTRI;ExTRI_CollecTRI;GOA_CollecTRI;DoRothEA;SIGNOR;SIGNOR_CollecTRI;TRRUST_CollecTRI;TRRUST_DoRothEA;ENCODE-distal;NTNU.Curated_CollecTRI;GEREDB_CollecTRI;ENCODE-proximal;ReMap_DoRothEA;HOCOMOCO_DoRothEA;JASPAR_DoRothEA
CTDNEP1	17	protein	transmembrane, intracellular	transmembrane, intracellular	3	TRUE	UniProt, OmniPath, ComPPI, GO_Intercell	FALSE	NA
CTDP1	18	protein	intracellular	intracellular	3	FALSE	LOCATE, OmniPath, GO_Intercell, ComPPI, UniProt	FALSE	NA
CTDSP1	2	protein	intracellular	intracellular	3	FALSE	GO_Intercell, UniProt, OmniPath, ComPPI	FALSE	NA
CTDSP2	12	protein	intracellular	intracellular	3	FALSE	GO_Intercell, OmniPath, UniProt, LOCATE, ComPPI	FALSE	NA
CTDSPL	3	protein	intracellular	intracellular	3	FALSE	LOCATE, UniProt, ComPPI, OmniPath, GO_Intercell	FALSE	NA
CTDSPL2	15	protein	intracellular	intracellular	2	FALSE	OmniPath, ComPPI, GO_Intercell	FALSE	NA
CTF1	16	protein	extracellular, secreted, ligand, intracellular, cytokine, interleukin6	extracellular, secreted, ligand, intracellular	19	FALSE	LOCATE, OmniPath, CellTalkDB, CellChatDB, SignaLink_function, HPA_secretome, ComPPI, Guide2Pharma, iTALK, connectomeDB2020, ICELLNET, LRdb, Matrisome, Ramilowski2015, Cellinker, HGNC, Kirouac2010, GO_Intercell, UniProt, talklr, scConnect, Baccin2019, CellCall, EMBRACE	FALSE	NA
CTH	1	protein	intracellular, receptor	intracellular, receptor	3	FALSE	ComPPI, OmniPath, GO_Intercell, LOCATE, scConnect, UniProt	FALSE	NA
CTHRC1	8	protein	secreted, ecm, intracellular, glycoprotein	secreted, ecm, intracellular	5	FALSE	UniProt, Cellinker, GO_Intercell, HPA_secretome, MatrixDB, OmniPath, CellCellInteractions, Baccin2019, connectomeDB2020, Matrisome, ComPPI	FALSE	NA
CTIF	18	protein	intracellular	intracellular	3	FALSE	UniProt, OmniPath, ComPPI, GO_Intercell	FALSE	NA
CTLA4	2	protein	plasma_membrane, intracellular, transmembrane, extracellular, receptor, transmembrane_phobius, checkpoint, plasma_membrane_transmembrane, cell_adhesion, transmembrane_predicted, adhesion, cell_surface, cell_surface_ligand, transmembrane_tmhmm	plasma_membrane, intracellular, transmembrane, extracellular, receptor, transmembrane_predicted, plasma_membrane_transmembrane, cell_adhesion, adhesion, cell_surface, cell_surface_ligand	8	TRUE	OmniPath, GO_Intercell, ComPPI, Cellinker, UniProt, DGIdb, scConnect, TopDB, Almen2009, ICELLNET, Membranome, CellTalkDB, Surfaceome, CellPhoneDB, CellChatDB, connectomeDB2020, LOCATE, Ramilowski_location, LRdb, Phobius, iTALK	FALSE	NA
CTNNA1	5	protein	cell_adhesion, intracellular, plasma_membrane, icam	cell_adhesion, intracellular, plasma_membrane	3	TRUE	OmniPath, LOCATE, UniProt, ComPPI, GO_Intercell, Zhong2015	FALSE	NA
CTNNA2	2	protein	cell_adhesion, intracellular, plasma_membrane, icam, adhesion	cell_adhesion, intracellular, plasma_membrane, adhesion	3	TRUE	OmniPath, Zhong2015, UniProt, ComPPI, GO_Intercell, LOCATE	FALSE	NA
CTNNA3	10	protein	intracellular, icam, cell_adhesion	intracellular, cell_adhesion	3	TRUE	UniProt, GO_Intercell, LOCATE, Zhong2015, OmniPath, ComPPI	FALSE	NA
CTNNAL1	9	protein	plasma_membrane, transmembrane, icam, intracellular, cell_adhesion	plasma_membrane, transmembrane_predicted, transmembrane, cell_adhesion, intracellular	3	TRUE	UniProt, Phobius, OmniPath, Zhong2015, GO_Intercell, LOCATE, Ramilowski_location, ComPPI	FALSE	NA
CTNNB1	3	protein	intracellular, icam, tight_junction, plasma_membrane, cell_adhesion	intracellular, cell_adhesion, tight_junction, plasma_membrane	3	TRUE	UniProt, Zhong2015, GO_Intercell, OmniPath, Cellinker, ComPPI, LOCATE	TRUE	CollecTRI;Pavlidis2021_CollecTRI;TFactS_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI;SIGNOR_CollecTRI;ORegAnno;SIGNOR;GOA_CollecTRI;IntAct_CollecTRI
CTNNBIP1	1	protein	intracellular	intracellular	3	FALSE	LOCATE, ComPPI, OmniPath, UniProt, GO_Intercell	FALSE	NA
CTNNBL1	20	protein	intracellular	intracellular	3	FALSE	GO_Intercell, UniProt, OmniPath, ComPPI, LOCATE	FALSE	NA
CTNND1	11	protein	intracellular, receptor, cell_adhesion, plasma_membrane, icam, adhesion	intracellular, receptor, cell_adhesion, plasma_membrane, adhesion	3	TRUE	ComPPI, UniProt, GO_Intercell, OmniPath, Zhong2015, LOCATE	FALSE	NA
CTNND2	5	protein	intracellular, cell_adhesion, icam	intracellular, cell_adhesion	3	TRUE	UniProt, OmniPath, GO_Intercell, ComPPI, Zhong2015	FALSE	NA
CTNS	17	protein	transmembrane, intracellular, cell_surface, receptor	transmembrane, intracellular, cell_surface, receptor, transmembrane_predicted	5	TRUE	OmniPath, GO_Intercell, Surfaceome, Ramilowski_location, UniProt, LOCATE, scConnect, Phobius	FALSE	NA
CTPS1	1	protein	intracellular	intracellular	3	FALSE	OmniPath, UniProt, GO_Intercell, LOCATE, ComPPI	FALSE	NA
CTPS2	X	protein	intracellular	intracellular	2	FALSE	GO_Intercell, OmniPath, ComPPI	FALSE	NA
CTR9	11	protein	intracellular	intracellular	3	FALSE	GO_Intercell, UniProt, OmniPath, ComPPI	FALSE	NA
CTRB1	16	protein	secreted, extracellular	secreted, extracellular	3	FALSE	UniProt, OmniPath, HPA_secretome	FALSE	NA
CTRB2	16	protein	secreted, extracellular	secreted, extracellular	3	FALSE	OmniPath, UniProt, HPA_secretome	FALSE	NA
CTRL	16	protein	receptor, secreted	receptor, secreted	1	FALSE	scConnect, HPA_secretome, OmniPath	FALSE	NA
CTSA	20	protein	intracellular, transmembrane, extracellular, receptor	intracellular, transmembrane, extracellular, receptor	3	TRUE	LOCATE, OmniPath, UniProt, scConnect, ComPPI, GO_Intercell	FALSE	NA
