mouse_gene_symbol	mouse_chromosome	entity_type	category	parent	consensus_score	is_cs	database_cs	database_tf
Calcrl	2	protein	receptor, class_b1_secretin_peptide_calcitonin, intracellular, transmembrane, gpcr, calcitonin, plasma_membrane, class_b1_secretin, secretin, plasma_membrane_transmembrane, cell_surface, seven_transmembrane_7tm, extracellular, 7tm_b, class_b1_secretin_peptide, 7tm_type_b_polypeptide_7tm_b	receptor, intracellular, transmembrane, transmembrane_predicted, plasma_membrane, plasma_membrane_transmembrane, cell_surface, extracellular	19	TRUE	Guide2Pharma, talklr, HPMR, GPCRdb, ComPPI, GO_Intercell, Ramilowski_location, TopDB, UniProt, HGNC, EMBRACE, Phobius, Surfaceome, scConnect, iTALK, OmniPath, Almen2009, connectomeDB2020, Baccin2019, Ramilowski2015, CellCellInteractions, CellChatDB, CellPhoneDB, Cellinker, CellTalkDB, ICELLNET, CSPA, DGIdb, LRdb	NA
Cald1	6	protein	intracellular	intracellular	3	FALSE	OmniPath, GO_Intercell, UniProt, ComPPI	NA
Calhm1	19	protein	transmembrane, plasma_membrane, intracellular, ion_channel, transporter, basolateral_cell_membrane	transmembrane, plasma_membrane, transmembrane_predicted, intracellular, ion_channel, transporter	5	TRUE	UniProt, OmniPath, Phobius, TopDB, DGIdb, Ramilowski_location, GO_Intercell	NA
Calhm2	19	protein	ion_channel, transmembrane, cell_surface, cell_surface_enzyme, extracellular, transporter	ion_channel, transmembrane, cell_surface, cell_surface_enzyme, transmembrane_predicted, extracellular, transporter	4	TRUE	OmniPath, UniProt, Surfaceome, Phobius, Ramilowski_location, DGIdb	NA
Calhm3	19	protein	transporter, transmembrane, ion_channel, plasma_membrane, intracellular, basolateral_cell_membrane	transporter, transmembrane, ion_channel, plasma_membrane, transmembrane_predicted, intracellular	4	TRUE	OmniPath, UniProt, DGIdb, Phobius, Ramilowski_location, ComPPI	NA
Calhm4	10	protein	transmembrane, transporter, ion_channel	transmembrane, transporter, ion_channel, transmembrane_predicted	4	TRUE	Ramilowski_location, UniProt, OmniPath, Phobius, DGIdb	NA
Calhm5	10	protein	ion_channel, cell_surface, transmembrane, extracellular, transporter, cell_surface_enzyme	ion_channel, cell_surface, transmembrane_predicted, transmembrane, extracellular, transporter, cell_surface_enzyme	4	TRUE	DGIdb, Surfaceome, OmniPath, Phobius, Ramilowski_location, UniProt	NA
Calhm6	10	protein	transmembrane, ion_channel, transporter	transmembrane, ion_channel, transporter, transmembrane_predicted	4	TRUE	Ramilowski_location, UniProt, OmniPath, DGIdb, Phobius	NA
Calm1	12	protein	adhesion, cell_adhesion, plasma_membrane, intracellular	adhesion, cell_adhesion, plasma_membrane, intracellular	3	TRUE	OmniPath, Cellinker, ComPPI, UniProt, GO_Intercell, LOCATE	NA
Calm2	17	protein	intracellular, adhesion, cell_adhesion, plasma_membrane	intracellular, adhesion, cell_adhesion, plasma_membrane	3	TRUE	ComPPI, OmniPath, Cellinker, UniProt, LOCATE, GO_Intercell	NA
Calm3	7	protein	plasma_membrane, cell_adhesion, intracellular, adhesion	plasma_membrane, cell_adhesion, intracellular, adhesion	3	TRUE	Cellinker, OmniPath, ComPPI, GO_Intercell, LOCATE, UniProt	NA
Calm4	13	protein	intracellular	intracellular	2	FALSE	ComPPI, GO_Intercell, OmniPath	NA
Calm5	13	protein	intracellular	intracellular	2	FALSE	ComPPI, GO_Intercell, OmniPath	NA
Calml3	13	protein	intracellular, ligand	intracellular, ligand	1	FALSE	OmniPath, ComPPI, CellTalkDB	NA
Caln1	5	protein	transmembrane, plasma_membrane, intracellular	transmembrane_predicted, transmembrane, plasma_membrane, intracellular	5	TRUE	Phobius, Ramilowski_location, UniProt, OmniPath, ComPPI, TopDB, GO_Intercell	NA
Calr	8	protein	ecm, extracellular, secreted, ligand, matrix_adhesion, intracellular, adhesion	ecm, extracellular, secreted, ligand, matrix_adhesion, intracellular, adhesion	9	TRUE	Ramilowski_location, DGIdb, OmniPath, connectomeDB2020, Cellinker, Ramilowski2015, HPMR, CellTalkDB, EMBRACE, UniProt, Baccin2019, LRdb, LOCATE, GO_Intercell, iTALK, talklr, ComPPI	NA
Calr3	8	protein	intracellular	intracellular	3	FALSE	GO_Intercell, ComPPI, OmniPath, UniProt	NA
Calu	6	protein	secreted, intracellular, extracellular	secreted, intracellular, extracellular	2	FALSE	UniProt, OmniPath, LOCATE, GO_Intercell	NA
Caly	7	protein	plasma_membrane, cell_surface, intracellular, transmembrane_phobius, receptor, transmembrane, gpcr, transmembrane_tmhmm, transmembrane_predicted	plasma_membrane, cell_surface, intracellular, transmembrane_predicted, receptor, transmembrane	6	TRUE	OmniPath, Surfaceome, UniProt, Almen2009, GO_Intercell, ComPPI, DGIdb, Ramilowski_location, LOCATE, Phobius	NA
Camk1	6	protein	transmembrane, intracellular, receptor	transmembrane, intracellular, receptor	3	TRUE	OmniPath, ComPPI, scConnect, LOCATE, UniProt, GO_Intercell	NA
Camk1d	2	protein	transmembrane, intracellular, receptor	transmembrane, intracellular, receptor	3	TRUE	LOCATE, GO_Intercell, scConnect, OmniPath, ComPPI, UniProt	NA
Camk1g	1	protein	intracellular, plasma_membrane, receptor	intracellular, plasma_membrane, receptor	3	FALSE	LOCATE, ComPPI, UniProt, OmniPath, GO_Intercell, scConnect	NA
Camk2a	18	protein	transmembrane_phobius, intracellular, transmembrane, transmembrane_predicted, transmembrane_sosui, receptor	transmembrane_predicted, intracellular, transmembrane, receptor	3	TRUE	Almen2009, GO_Intercell, Ramilowski_location, Phobius, ComPPI, OmniPath, LOCATE, scConnect	NA
Camk2b	11	protein	transmembrane_sosui, transmembrane, intracellular, transmembrane_phobius, receptor, transmembrane_predicted	transmembrane_predicted, transmembrane, intracellular, receptor	3	TRUE	Almen2009, LOCATE, Phobius, Ramilowski_location, OmniPath, GO_Intercell, ComPPI, scConnect, UniProt	NA
Camk2g	14	protein	transmembrane_predicted, receptor, transmembrane, intracellular, transmembrane_sosui, transmembrane_phobius	transmembrane, receptor, intracellular, transmembrane_predicted	3	TRUE	OmniPath, scConnect, LOCATE, Ramilowski_location, Almen2009, UniProt, ComPPI, Phobius, GO_Intercell	NA
Camk2n1	4	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	NA
Camk2n2	16	protein	intracellular	intracellular	3	FALSE	ComPPI, OmniPath, UniProt, GO_Intercell	NA
Camk4	18	protein	intracellular, receptor	intracellular, receptor	3	FALSE	LOCATE, OmniPath, UniProt, scConnect, GO_Intercell, ComPPI	NA
Camkk1	11	protein	intracellular, receptor	intracellular, receptor	3	FALSE	GO_Intercell, scConnect, OmniPath, ComPPI, UniProt, LOCATE	NA
Camkk2	5	protein	intracellular, receptor	intracellular, receptor	3	FALSE	OmniPath, scConnect, ComPPI, UniProt, GO_Intercell, LOCATE	NA
Camkmt	17	protein	intracellular	intracellular	3	FALSE	ComPPI, UniProt, GO_Intercell, OmniPath	NA
Camkv	9	protein	plasma_membrane, intracellular, receptor	plasma_membrane, intracellular, receptor	3	FALSE	OmniPath, UniProt, GO_Intercell, ComPPI, LOCATE, scConnect	NA
Caml	13	protein	transmembrane, intracellular	transmembrane, intracellular, transmembrane_predicted	5	TRUE	UniProt, OmniPath, LOCATE, ComPPI, Phobius, GO_Intercell, Ramilowski_location	NA
Camp	9	protein	secreted, extracellular, intracellular	secreted, extracellular, intracellular	4	FALSE	UniProt, LOCATE, OmniPath, Cellinker, GO_Intercell, HPMR, connectomeDB2020	NA
Camsap1	2	protein	intracellular	intracellular	3	FALSE	UniProt, GO_Intercell, ComPPI, OmniPath	NA
Camsap2	1	protein	intracellular	intracellular	3	FALSE	OmniPath, ComPPI, GO_Intercell, UniProt	NA
Camsap3	8	protein	intracellular	intracellular	3	FALSE	ComPPI, UniProt, OmniPath, GO_Intercell	NA
Camta1	4	protein	intracellular	intracellular	3	FALSE	GO_Intercell, ComPPI, LOCATE, UniProt, OmniPath	CollecTRI;ExTRI_CollecTRI;SIGNOR;SIGNOR_CollecTRI
Camta2	11	protein	intracellular, transmembrane	intracellular, transmembrane	3	TRUE	OmniPath, GO_Intercell, Ramilowski_location, ComPPI, UniProt	NA
Cand1	10	protein	intracellular, transmembrane	intracellular, transmembrane	3	TRUE	ComPPI, GO_Intercell, UniProt, LOCATE, OmniPath	NA
Cand2	6	protein	intracellular	intracellular	3	FALSE	OmniPath, UniProt, GO_Intercell, ComPPI	NA
Cant1	11	protein	transmembrane, intracellular, plasma_membrane, transmembrane_predicted, transmembrane_phobius, transmembrane_sosui	transmembrane_predicted, intracellular, transmembrane, plasma_membrane	6	TRUE	Phobius, GO_Intercell, Ramilowski_location, OmniPath, UniProt, ComPPI, TopDB, Almen2009	NA
Canx	11	protein	plasma_membrane_transmembrane, transmembrane_sosui, intracellular, transmembrane_tmhmm, transmembrane, cell_surface, transmembrane_phobius, transmembrane_predicted	plasma_membrane_transmembrane, transmembrane_predicted, intracellular, transmembrane, cell_surface	7	TRUE	OmniPath, Almen2009, GO_Intercell, UniProt, connectomeDB2020, Phobius, LOCATE, Ramilowski_location, CSPA, TopDB	NA
Cap1	4	protein	intracellular, receptor, plasma_membrane	intracellular, receptor, plasma_membrane	2	FALSE	GO_Intercell, ComPPI, CellChatDB, OmniPath, UniProt, LOCATE, Cellinker	NA
Cap2	13	protein	plasma_membrane, intracellular	plasma_membrane, intracellular	2	FALSE	UniProt, OmniPath, ComPPI, GO_Intercell	NA
Capg	6	protein	intracellular	intracellular	3	FALSE	ComPPI, UniProt, OmniPath, LOCATE, GO_Intercell	NA
Capn1	19	protein	intracellular, receptor, plasma_membrane, transmembrane	intracellular, receptor, plasma_membrane, transmembrane	3	TRUE	GO_Intercell, scConnect, UniProt, ComPPI, LOCATE, OmniPath	NA
Capn10	1	protein	intracellular	intracellular	2	FALSE	OmniPath, GO_Intercell, ComPPI	NA
Capn11	17	protein	intracellular	intracellular	3	FALSE	OmniPath, UniProt, ComPPI, GO_Intercell	NA
Capn12	7	protein	intracellular	intracellular	1	FALSE	GO_Intercell, OmniPath	NA
Capn13	17	protein	intracellular	intracellular	2	FALSE	ComPPI, OmniPath, GO_Intercell	NA
Capn15	17	protein	intracellular	intracellular	2	FALSE	OmniPath, ComPPI, GO_Intercell	NA
Capn2	1	protein	intracellular, receptor, extracellular, plasma_membrane	intracellular, receptor, extracellular, plasma_membrane	3	FALSE	LOCATE, ComPPI, GO_Intercell, scConnect, OmniPath, DGIdb, UniProt	NA
Capn3	2	protein	intracellular	intracellular	3	FALSE	OmniPath, LOCATE, ComPPI, GO_Intercell, UniProt	NA
Capn5	7	protein	intracellular	intracellular	2	FALSE	ComPPI, LOCATE, OmniPath, GO_Intercell	NA
Capn6	X	protein	intracellular	intracellular	3	FALSE	GO_Intercell, OmniPath, UniProt, ComPPI	NA
Capn7	14	protein	intracellular	intracellular	3	FALSE	OmniPath, GO_Intercell, UniProt, ComPPI	NA
Capn8	1	protein	intracellular	intracellular	3	FALSE	UniProt, OmniPath, ComPPI, GO_Intercell	NA
Capn9	8	protein	intracellular	intracellular	2	FALSE	GO_Intercell, OmniPath, LOCATE, ComPPI	NA
Capns1	7	protein	plasma_membrane, intracellular	plasma_membrane, intracellular	3	FALSE	OmniPath, UniProt, ComPPI, GO_Intercell	NA
Capns2	8	protein	intracellular, plasma_membrane	intracellular, plasma_membrane	3	FALSE	ComPPI, GO_Intercell, UniProt, OmniPath	NA
Caprin1	2	protein	intracellular	intracellular	3	FALSE	OmniPath, GO_Intercell, LOCATE, ComPPI, UniProt	NA
Caprin2	6	protein	transmembrane, intracellular	transmembrane, intracellular	3	TRUE	Ramilowski_location, OmniPath, ComPPI, GO_Intercell, LOCATE, UniProt	NA
Capsl	15	protein	intracellular	intracellular	3	FALSE	ComPPI, UniProt, OmniPath, GO_Intercell	NA
Capza1	3	protein	intracellular	intracellular	3	FALSE	ComPPI, LOCATE, GO_Intercell, OmniPath, UniProt	NA
Capza2	6	protein	intracellular	intracellular	2	FALSE	OmniPath, GO_Intercell, ComPPI	NA
Capza3	6	protein	intracellular	intracellular	2	FALSE	ComPPI, LOCATE, OmniPath, GO_Intercell	NA
Capzb	4	protein	intracellular	intracellular	3	FALSE	UniProt, OmniPath, ComPPI, LOCATE, GO_Intercell	NA
Car1	3	protein	receptor, intracellular	receptor, intracellular	3	FALSE	scConnect, GO_Intercell, OmniPath, LOCATE, UniProt, ComPPI	NA
Car10	11	protein	intracellular, secreted	intracellular, secreted	1	FALSE	OmniPath, HPA_secretome, ComPPI	NA
Car11	7	protein	extracellular, secreted, intracellular	extracellular, secreted, intracellular	3	FALSE	LOCATE, UniProt, OmniPath, HPA_secretome, ComPPI	NA
Car12	9	protein	intracellular, transmembrane, transmembrane_predicted, plasma_membrane, plasma_membrane_transmembrane, cell_surface, transmembrane_phobius, cell_adhesion, cell_surface_enzyme, receptor, transmembrane_tmhmm, adhesion, transmembrane_sosui, extracellular	intracellular, transmembrane, plasma_membrane, plasma_membrane_transmembrane, cell_surface, transmembrane_predicted, cell_adhesion, cell_surface_enzyme, receptor, adhesion, extracellular	7	TRUE	OmniPath, Ramilowski_location, LOCATE, Cellinker, TopDB, Membranome, Surfaceome, Almen2009, UniProt, ComPPI, CSPA, scConnect, Phobius	NA
Car13	3	protein	receptor, intracellular	receptor, intracellular	2	FALSE	OmniPath, ComPPI, LOCATE, scConnect, GO_Intercell	NA
Car14	3	protein	transmembrane_phobius, transmembrane_predicted, transmembrane, receptor, transmembrane_tmhmm, cell_surface, cell_surface_enzyme, plasma_membrane_transmembrane, transmembrane_sosui	transmembrane_predicted, transmembrane, receptor, cell_surface, cell_surface_enzyme, plasma_membrane_transmembrane	7	TRUE	Almen2009, OmniPath, UniProt, scConnect, LOCATE, Surfaceome, Ramilowski_location, Membranome, TopDB, Phobius	NA
Car2	3	protein	receptor, plasma_membrane, intracellular, cell_adhesion, adhesion, extracellular	receptor, plasma_membrane, intracellular, cell_adhesion, adhesion, extracellular	3	TRUE	OmniPath, GO_Intercell, UniProt, LOCATE, scConnect, Cellinker, ComPPI	NA
Car3	3	protein	intracellular, extracellular	intracellular, extracellular	3	FALSE	ComPPI, UniProt, GO_Intercell, OmniPath, LOCATE	NA
Car4	11	protein	transmembrane, receptor, peripheral, transmembrane_sosui, intracellular, cell_surface_enzyme, plasma_membrane, cell_surface, transmembrane_predicted, transmembrane_tmhmm, transmembrane_phobius, extracellular	transmembrane, receptor, peripheral, transmembrane_predicted, intracellular, cell_surface_enzyme, plasma_membrane, cell_surface, extracellular	4	TRUE	OmniPath, scConnect, UniProt, Almen2009, GO_Intercell, Surfaceome, ComPPI, Ramilowski_location, Phobius	NA
Car5a	8	protein	intracellular, receptor	intracellular, receptor	3	FALSE	ComPPI, GO_Intercell, OmniPath, scConnect, UniProt	NA
Car5b	X	protein	intracellular	intracellular	3	FALSE	GO_Intercell, ComPPI, OmniPath, UniProt	NA
Car6	4	protein	secreted, intracellular, extracellular	secreted, intracellular, extracellular	3	FALSE	UniProt, OmniPath, HPA_secretome, LOCATE, GO_Intercell	NA
Car7	8	protein	intracellular, receptor	intracellular, receptor	2	FALSE	GO_Intercell, OmniPath, UniProt, scConnect	NA
Car8	4	protein	intracellular	intracellular	2	FALSE	LOCATE, OmniPath, ComPPI, GO_Intercell	NA
Car9	4	protein	intracellular, plasma_membrane_transmembrane, transmembrane_sosui, transmembrane, receptor, plasma_membrane, transmembrane_tmhmm, transmembrane_predicted, transmembrane_phobius, cell_surface	intracellular, plasma_membrane_transmembrane, transmembrane_predicted, receptor, transmembrane, plasma_membrane, cell_surface	7	TRUE	GO_Intercell, OmniPath, Almen2009, LOCATE, Phobius, scConnect, UniProt, Membranome, ComPPI, Ramilowski_location, TopDB	NA
Card10	15	protein	intracellular	intracellular	3	FALSE	UniProt, OmniPath, GO_Intercell, ComPPI	NA
Card11	5	protein	intracellular, plasma_membrane, cell_adhesion, adhesion	intracellular, plasma_membrane, cell_adhesion, adhesion	3	TRUE	LOCATE, GO_Intercell, Cellinker, OmniPath, UniProt, ComPPI	NA
Card14	11	protein	intracellular	intracellular	3	FALSE	UniProt, OmniPath, ComPPI, GO_Intercell	NA
Card19	13	protein	transmembrane, transmembrane_sosui, transmembrane_tmhmm, intracellular, transmembrane_phobius, transmembrane_predicted	transmembrane, transmembrane_predicted, intracellular	3	TRUE	LOCATE, Almen2009, ComPPI, OmniPath, GO_Intercell, UniProt	NA
Card6	15	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	NA
Card9	2	protein	intracellular	intracellular	3	FALSE	OmniPath, GO_Intercell, LOCATE, UniProt, ComPPI	NA
Carf	1	protein	intracellular	intracellular	3	FALSE	GO_Intercell, UniProt, OmniPath, ComPPI	CollecTRI;ExTRI_CollecTRI;GOA_CollecTRI
Carhsp1	16	protein	intracellular	intracellular	3	FALSE	OmniPath, ComPPI, GO_Intercell, UniProt, LOCATE	NA
Carm1	9	protein	intracellular, transmembrane, receptor	intracellular, transmembrane, receptor	3	TRUE	GO_Intercell, LOCATE, OmniPath, scConnect, ComPPI, UniProt	NA
Carmil1	13	protein	plasma_membrane, intracellular	plasma_membrane, intracellular	3	FALSE	UniProt, ComPPI, GO_Intercell, OmniPath	NA
Carmil2	8	protein	plasma_membrane, intracellular	plasma_membrane, intracellular	3	FALSE	OmniPath, UniProt, ComPPI, GO_Intercell	NA
Carmil3	14	protein	intracellular, plasma_membrane	intracellular, plasma_membrane	2	FALSE	OmniPath, GO_Intercell, UniProt	NA
Carnmt1	19	protein	intracellular	intracellular	3	FALSE	GO_Intercell, UniProt, ComPPI, OmniPath	NA
Carns1	19	protein	transmembrane, transmembrane_sosui, intracellular, transmembrane_predicted, transmembrane_phobius	transmembrane_predicted, intracellular, transmembrane	3	TRUE	Phobius, Almen2009, ComPPI, OmniPath, Ramilowski_location, GO_Intercell	NA
Cars	7	protein	intracellular	intracellular	3	FALSE	ComPPI, UniProt, GO_Intercell, OmniPath	NA
Cars2	8	protein	intracellular	intracellular	3	FALSE	OmniPath, UniProt, GO_Intercell, ComPPI	NA
Cartpt	13	protein	secreted, intracellular, extracellular, ligand	secreted, intracellular, extracellular, ligand	3	FALSE	UniProt, HPA_secretome, OmniPath, LOCATE, GO_Intercell	NA
Casc1	6	protein	intracellular	intracellular	3	FALSE	ComPPI, UniProt, OmniPath, GO_Intercell	NA
Casc3	11	protein	intracellular	intracellular	3	FALSE	OmniPath, UniProt, ComPPI, LOCATE, GO_Intercell	NA
Casd1	6	protein	intracellular, plasma_membrane_transmembrane, transmembrane, cell_surface	intracellular, plasma_membrane_transmembrane, transmembrane, cell_surface, transmembrane_predicted	4	TRUE	GO_Intercell, CSPA, OmniPath, UniProt, Surfaceome, Ramilowski_location, Phobius, ComPPI	NA
Cask	X	protein	ion_channel, transmembrane, transmembrane_phobius, transmembrane_predicted, intracellular, transporter, extracellular, receptor, plasma_membrane, transmembrane_sosui	ion_channel, transmembrane, transmembrane_predicted, intracellular, transporter, extracellular, receptor, plasma_membrane	3	TRUE	OmniPath, LOCATE, Almen2009, GO_Intercell, Ramilowski_location, Phobius, UniProt, DGIdb, scConnect, ComPPI	NA
Caskin1	17	protein	intracellular	intracellular	3	FALSE	ComPPI, GO_Intercell, LOCATE, UniProt, OmniPath	NA
Caskin2	11	protein	intracellular	intracellular	3	FALSE	ComPPI, UniProt, GO_Intercell, OmniPath	NA
Casp1	9	protein	intracellular, receptor, plasma_membrane	intracellular, receptor, plasma_membrane	3	FALSE	OmniPath, ComPPI, GO_Intercell, UniProt, scConnect, LOCATE	NA
Casp12	9	protein	intracellular	intracellular	2	FALSE	GO_Intercell, ComPPI, OmniPath	NA
Casp14	10	protein	intracellular, receptor	intracellular, receptor	3	FALSE	UniProt, ComPPI, scConnect, OmniPath, GO_Intercell	NA
Casp2	6	protein	intracellular, receptor	intracellular, receptor	2	FALSE	LOCATE, ComPPI, OmniPath, GO_Intercell, scConnect	NA
Casp3	8	protein	receptor, intracellular	receptor, intracellular	3	FALSE	OmniPath, LOCATE, scConnect, GO_Intercell, ComPPI, UniProt	NA
Casp6	3	protein	intracellular, receptor	intracellular, receptor	3	FALSE	GO_Intercell, OmniPath, ComPPI, LOCATE, scConnect, UniProt	NA
Casp7	19	protein	secreted, receptor, intracellular, extracellular	secreted, receptor, intracellular, extracellular	3	FALSE	UniProt, scConnect, OmniPath, ComPPI, LOCATE, GO_Intercell	NA
Casp8	1	protein	cell_adhesion, intracellular, receptor, adhesion, plasma_membrane	cell_adhesion, intracellular, receptor, adhesion, plasma_membrane	3	TRUE	Cellinker, GO_Intercell, ComPPI, LOCATE, UniProt, OmniPath, scConnect	NA
Casp8ap2	4	protein	intracellular	intracellular	3	FALSE	ComPPI, UniProt, OmniPath, GO_Intercell, LOCATE	NA
Casp9	4	protein	intracellular, receptor	intracellular, receptor	2	FALSE	LOCATE, GO_Intercell, OmniPath, ComPPI, scConnect	NA
Casq1	1	protein	intracellular	intracellular	3	FALSE	LOCATE, OmniPath, UniProt, ComPPI, GO_Intercell	NA
Casq2	3	protein	intracellular	intracellular	3	FALSE	OmniPath, ComPPI, UniProt, GO_Intercell	NA
Casr	16	protein	intracellular, transmembrane, gpcr, calcium_7tm_c, cell_adhesion, cell_surface, seven_transmembrane_7tm, receptor, plasma_membrane, plasma_membrane_transmembrane, glutamate, extracellular, class_c_glutamate_ion_calcium_sensing, class_c_glutamate, calcium, 7tm_c, class_c_glutamate_ion, adhesion	intracellular, transmembrane, receptor, cell_adhesion, cell_surface, plasma_membrane, plasma_membrane_transmembrane, extracellular, adhesion, transmembrane_predicted	7	TRUE	OmniPath, UniProt, Almen2009, GO_Intercell, HPMR, Cellinker, LOCATE, CellCellInteractions, scConnect, Surfaceome, GPCRdb, HGNC, DGIdb, Phobius, Ramilowski_location	NA
Cass4	2	protein	adhesion_cytoskeleton_adaptor, intracellular, intracellular_intercellular_related, matrix_adhesion, cas_scaffold_intracell	intracellular_intercellular_related, intracellular, matrix_adhesion	3	TRUE	Adhesome, ComPPI, OmniPath, UniProt, GO_Intercell, HGNC	NA
Cast	13	protein	intracellular	intracellular	2	FALSE	GO_Intercell, ComPPI, OmniPath	NA
Castor1	11	protein	intracellular	intracellular	3	FALSE	GO_Intercell, ComPPI, UniProt, OmniPath	NA
Castor2	5	protein	intracellular	intracellular	3	FALSE	UniProt, OmniPath, GO_Intercell, ComPPI	NA
Cat	2	protein	intracellular, receptor	intracellular, receptor	3	FALSE	UniProt, OmniPath, GO_Intercell, scConnect, LOCATE, ComPPI	NA
Catip	1	protein	intracellular, plasma_membrane	intracellular, plasma_membrane	3	FALSE	ComPPI, OmniPath, GO_Intercell, UniProt	NA
Catsper1	19	protein	ion_channel, matrix_adhesion, transporter, catsper, plasma_membrane, transmembrane, peripheral, sperm_associated_voltage_gated, adhesion, cell_surface_ligand, voltage_gated	ion_channel, matrix_adhesion, transporter, plasma_membrane, transmembrane, peripheral, transmembrane_predicted, adhesion, cell_surface_ligand	4	TRUE	DGIdb, Cellinker, OmniPath, HGNC, CellPhoneDB, UniProt, Ramilowski_location, Phobius, Almen2009	NA
Catsper2	2	protein	transmembrane, transporter, catsper, ion_channel, peripheral, receptor, cell_surface_ligand	transmembrane, transporter, ion_channel, transmembrane_predicted, peripheral, receptor, cell_surface_ligand	4	TRUE	UniProt, OmniPath, HGNC, Ramilowski_location, Phobius, CellPhoneDB, scConnect, DGIdb	NA
Catsper3	13	protein	cell_surface_ligand, ion_channel, sperm_associated_voltage_gated, receptor, transmembrane, peripheral, voltage_gated, intracellular, catsper, transporter	cell_surface_ligand, ion_channel, receptor, transmembrane, peripheral, intracellular, transmembrane_predicted, transporter	5	TRUE	CellPhoneDB, DGIdb, Almen2009, OmniPath, UniProt, LOCATE, GO_Intercell, Phobius, HGNC, Ramilowski_location, scConnect	NA
Catsper4	4	protein	voltage_gated, transmembrane, catsper, transporter, peripheral, intracellular, ion_channel, cell_surface_ligand, sperm_associated_voltage_gated, receptor	ion_channel, transmembrane, transporter, transmembrane_predicted, peripheral, intracellular, cell_surface_ligand, receptor	4	TRUE	Almen2009, Ramilowski_location, HGNC, OmniPath, Phobius, UniProt, GO_Intercell, DGIdb, CellPhoneDB, scConnect	NA
Catsperb	12	protein	transmembrane, catsper, ion_channel, transporter	transmembrane, transmembrane_predicted, ion_channel, transporter	4	TRUE	UniProt, Phobius, OmniPath, HGNC, Ramilowski_location	NA
Catsperd	17	protein	intracellular, catsper, transmembrane, cell_surface_ligand, transmembrane_predicted, ion_channel, plasma_membrane_transmembrane, cell_surface, transmembrane_phobius, transporter	intracellular, ion_channel, transmembrane, cell_surface_ligand, plasma_membrane_transmembrane, cell_surface, transmembrane_predicted, transporter	5	TRUE	ComPPI, HGNC, CellPhoneDB, UniProt, OmniPath, Membranome, Ramilowski_location, Surfaceome, Almen2009, Phobius	NA
Catspere1	1	protein	plasma_membrane_transmembrane, cell_surface, ion_channel, transmembrane, catsper, transmembrane_predicted, transporter, transmembrane_phobius, transmembrane_tmhmm	plasma_membrane_transmembrane, cell_surface, ion_channel, transmembrane, transmembrane_predicted, transporter	5	TRUE	OmniPath, UniProt, Membranome, Phobius, HGNC, Surfaceome, Ramilowski_location, Almen2009	NA
Catspere2	1	protein	plasma_membrane_transmembrane, cell_surface, ion_channel, transmembrane, catsper, transmembrane_predicted, transporter, transmembrane_phobius, transmembrane_tmhmm	plasma_membrane_transmembrane, cell_surface, ion_channel, transmembrane, transmembrane_predicted, transporter	5	TRUE	OmniPath, UniProt, Membranome, Phobius, HGNC, Surfaceome, Ramilowski_location, Almen2009	NA
Catsperg1	7	protein	transporter, ion_channel, transmembrane, intracellular, cell_surface, transmembrane_sosui, catsper, transmembrane_phobius, plasma_membrane_transmembrane, secreted, transmembrane_tmhmm, transmembrane_predicted	transporter, ion_channel, transmembrane, transmembrane_predicted, intracellular, cell_surface, plasma_membrane_transmembrane, secreted	5	TRUE	OmniPath, Ramilowski_location, Phobius, UniProt, Surfaceome, Almen2009, HGNC, ComPPI, HPA_secretome, Membranome	NA
Catsperg2	7	protein	transporter, ion_channel, transmembrane, intracellular, cell_surface, transmembrane_sosui, catsper, transmembrane_phobius, plasma_membrane_transmembrane, secreted, transmembrane_tmhmm, transmembrane_predicted	transporter, ion_channel, transmembrane, transmembrane_predicted, intracellular, cell_surface, plasma_membrane_transmembrane, secreted	5	TRUE	OmniPath, Ramilowski_location, Phobius, UniProt, Surfaceome, Almen2009, HGNC, ComPPI, HPA_secretome, Membranome	NA
Catsperz	19	protein	transporter, intracellular, ion_channel, catsper	transporter, intracellular, ion_channel	1	FALSE	OmniPath, HGNC, GO_Intercell	NA
Cav1	6	protein	cell_surface, intracellular, peripheral, plasma_membrane, intracellular_intercellular_related, adhesion_cytoskeleton_adaptor, transmembrane, cell_adhesion, extracellular, adhesion	cell_surface, intracellular, peripheral, plasma_membrane, intracellular_intercellular_related, transmembrane, cell_adhesion, transmembrane_predicted, extracellular, adhesion	3	TRUE	connectomeDB2020, LOCATE, OmniPath, Cellinker, Adhesome, ComPPI, GO_Intercell, Ramilowski_location, UniProt, Phobius	NA
Cav2	6	protein	peripheral, intracellular, transmembrane_sosui, transmembrane_predicted, transmembrane, plasma_membrane, transmembrane_tmhmm, transmembrane_phobius	peripheral, intracellular, transmembrane_predicted, transmembrane, plasma_membrane	4	TRUE	UniProt, Almen2009, OmniPath, ComPPI, Phobius, LOCATE, GO_Intercell, Ramilowski_location	NA
Cav3	6	protein	transmembrane, receptor, plasma_membrane, intracellular, peripheral	transmembrane, receptor, plasma_membrane, intracellular, peripheral, transmembrane_predicted	3	TRUE	OmniPath, Ramilowski_location, UniProt, ComPPI, LOCATE, GO_Intercell, Phobius	NA
